malattia,sintomi
occhio_pavone,"macchie_circolari_grigie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie,macchie_bruno_nerastre_frutti"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_nere_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,avvizzimento_pianta"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,macchie_bruno_nerastre_frutti"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,tumori_rami,annerimento_gambo"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,muffa_biancastra"
occhio_pavone,"macchie_circolari_grigie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie,caduta_foglie,tumori_rami"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
occhio_pavone,"ingiallimento_foglie,caduta_foglie,annerimento_gambo"
occhio_pavone,"ingiallimento_foglie,caduta_foglie"
occhio_pavone,"macchie_circolari_grigie,ingiallimento_foglie"
